patient,n_test_images,no_aug_acc,no_aug_bal,no_aug_conf,aug_acc,aug_bal,aug_conf,delta_acc
1,491,0.8167,0.7648,,0.8493,0.7693,,0.0326
2,302,0.8709,0.8497,,0.8709,0.8559,,0.0000
3,172,0.6570,0.7274,,0.6802,0.7596,,0.0232
4,234,0.7521,0.7908,,0.7949,0.8307,,0.0428
5,175,0.7600,0.7317,,0.8057,0.7818,,0.0457
6,122,0.8214,0.8631,,0.7951,0.7602,,-0.0263
7,28,0.8214,0.8810,,0.9286,0.9345,,0.1072
8,57,0.5614,0.7222,,0.4737,0.6667,,-0.0877
9,9,1.0000,1.0000,,1.0000,1.0000,,0.0000
10,51,0.9216,0.9216,,0.9608,0.9608,,0.0392
11,46,1.0000,1.0000,,1.0000,1.0000,,0.0000
12,19,1.0000,1.0000,,1.0000,1.0000,,0.0000
13,3,1.0000,1.0000,,1.0000,1.0000,,0.0000
14,4,0.2500,0.2500,,0.7500,0.7500,,0.5000
